26/05/1989,BGD,Storm,15,0
//1989,BGD,Drought,0,0
02/05/1990,BGD,Storm,0,0
30/03/1990,BGD,Flood,166,0
22/04/1990,BGD,Storm,54,0
21/12/1990,BGD,Storm,250,0
29/12/1990,BGD,Extreme temperature ,67,0
08/10/1990,BGD,Storm,370,0
06/09/1990,BGD,Flood,65,6000
01/01/1990,BGD,Extreme temperature ,50,0
10/05/1991,BGD,Storm,138866,1780000
/07/1991,BGD,Flood,0,0
10/09/1991,BGD,Flood,65,150000
07/05/1991,BGD,Storm,121,0
06/01/1992,BGD,Extreme temperature ,182,0
26/05/1991,BGD,Flood,200,0
01/02/1992,BGD,Storm,7,0
18/04/1992,BGD,Flood,15,0
22/04/1992,BGD,Storm,16,0
26/06/1992,BGD,Flood,2,0
11/07/1992,BGD,Flood,0,0
12/01/1993,BGD,Storm,31,0
22/06/1993,BGD,Flood,28,0
13/05/1993,BGD,Storm,14,0
31/08/1993,BGD,Flood,162,0
19/02/1993,BGD,Storm,8,0
27/03/1993,BGD,Storm,300,0
07/05/1993,BGD,Storm,9,0
17/05/1993,BGD,Storm,25,0
21/08/1993,BGD,Flood,4,0
09/01/1993,BGD,Storm,50,0
09/05/1993,BGD,Storm,15,0
02/05/1994,BGD,Storm,130,125000
28/03/1994,BGD,Storm,40,2500
19/04/1994,BGD,Storm,20,0
18/05/1994,BGD,Storm,15,0
03/06/1994,BGD,Flood,3,0
19/08/1994,BGD,Flood,40,0
/02/1994,BGD,Extreme temperature ,29,0
19/04/1994,BGD,Flood,61,0
19/05/1994,BGD,Flood,12,0
/01/1995,BGD,Extreme temperature ,120,0
12/04/1995,BGD,Storm,50,0
12/04/1995,BGD,Storm,6,0
15/05/1995,BGD,Storm,525,800000
23/06/1995,BGD,Flood,250,200000
15/05/1995,BGD,Flood,50,0
16/10/1995,BGD,Flood,400,175000
25/11/1995,BGD,Storm,172,0
24/05/1995,BGD,Flood,41,300
/01/1996,BGD,Extreme temperature ,200,0
14/05/1996,BGD,Storm,525,0
02/08/1996,BGD,Flood,33,10000
27/07/1996,BGD,Storm,60,0
07/09/1996,BGD,Flood,22,0
23/04/1996,BGD,Storm,17,0
29/10/1996,BGD,Storm,24,0
18/05/1997,BGD,Storm,111,0
13/07/1997,BGD,Flood,79,229000
27/09/1997,BGD,Storm,188,0
12/10/1997,BGD,Storm,15,0
22/11/1997,BGD,Earthquake,23,0
21/01/1997,BGD,Extreme temperature ,33,0
23/03/1997,BGD,Storm,11,0
27/08/1997,BGD,Storm,100,0
09/01/1998,BGD,Extreme temperature ,120,0
