Date,ISO,Type,Death,Dollars
04/04/2012,ARG,Storm,18,10000
20/11/2012,ARG,Flood,6,0
03/12/2013,ARG,Storm,4,2000
01/04/2014,ARG,Flood,0,0
30/10/2014,ARG,Flood,3,0
04/03/2015,ARG,Flood,2,0
05/08/2015,ARG,Flood,3,0
04/04/2016,ARG,Flood,0,1000000
10/01/2017,ARG,Landslide,0,0
29/05/2017,ARG,Flood,0,0
31/01/2018,ARG,Flood,0,0
22/06/1997,ARM,Flood,4,8000
30/05/1998,ARM,Flood,0,120
05/03/2004,ARM,Flood,1,0
/12/2013,ARM,Extreme temperature ,0,0
/12/2013,ARM,Extreme temperature ,0,0
07/02/1967,AUS,Wildfire,62,68500
14/10/1968,AUS,Earthquake,0,2600
/01/1970,AUS,Storm,13,72475
24/12/1971,AUS,Storm,3,119219
25/12/1974,AUS,Storm,65,800000
/01/1974,AUS,Flood,14,5972
/01/1975,AUS,Wildfire,0,0
/03/1975,AUS,Flood,0,54684
/10/1976,AUS,Flood,0,0
02/11/1976,AUS,Storm,0,7279
/01/1976,AUS,Storm,0,4237
/12/1976,AUS,Storm,0,36177
/05/1976,AUS,Drought,0,0
/02/1977,AUS,Storm,0,10269
/03/1977,AUS,Flood,0,17686
/04/1978,AUS,Storm,5,1000000
/05/1978,AUS,Flood,1,3452
/02/1978,AUS,Storm,0,35090
/06/1978,AUS,Storm,0,16107
/06/1979,AUS,Earthquake,0,7075
/03/1979,AUS,Storm,15,31286
/01/1980,AUS,Storm,0,6966
/02/1980,AUS,Wildfire,0,25975
/12/1980,AUS,Storm,0,13932
/01/1981,AUS,Flood,2,11279
/11/1981,AUS,Storm,0,7895
//1981,AUS,Drought,0,6000000
15/11/1982,AUS,Storm,0,12454
16/02/1983,AUS,Wildfire,75,400000
/02/1983,AUS,Storm,0,2255
09/11/1984,AUS,Flood,36,3000
18/01/1985,AUS,Storm,27,122000
/02/1985,AUS,Wildfire,6,18169
/02/1986,AUS,Storm,3,70000
/01/1986,AUS,Storm,0,5778
/12/1986,AUS,Storm,0,6806
/03/1988,AUS,Storm,1,20417
/04/1988,AUS,Flood,0,68055
28/12/1989,AUS,Earthquake,12,1000000
/04/1989,AUS,Storm,2,94300
18/04/1990,AUS,Flood,6,195500
