YEAR,ISO,COMMODITY,TREND,ADJUSTED TREND,ADJUSTED DEATH,ADJUSTED $ LOSS,CIS
2016,DEU,1701,9.038914840624951,1.2200117076929693,0.6439402506035571,7.423511329514675e-07,0.6301029995663981,0.630103741917531
2000,NGA,1701,6.908905705391607,1.2817811079549049,0.30175246858682836,1.5229456919947107e-06,0.3826398782187618,0.3826414011644538
2009,NGA,1701,5.331832044436249,0.02648050962955654,-1.0867612759903589,1.3114254569954453e-06,0,1.3114254569954453e-06
2010,NGA,1701,5.198813734557461,0.7361760596180718,-0.30175246858682864,1.692161879994123e-06,0.44771212547196626,0.44771381763384627
2016,NGA,1701,5.596541018541464,2.4987757581125796,1.6478952180407498,1.945986161993241e-06,0,1.945986161993241e-06
1997,NLD,1701,8.52452793027489,1.34128839033561,0.6381796275193345,1.3153221959553181e-06,0,1.3153221959553181e-06
1998,NLD,1701,8.469781727775624,0.8815638999338007,-0.3038544044941299,0.0,0.5724357804226426,0.5724357804226426
2002,NLD,1701,8.379164426194734,0.7977804228339914,-0.4755374198572167,2.6306443919106363e-06,0.5477121254719662,0.5477147561163581
2003,NLD,1701,8.3555619130627,0.9471035988495721,-0.16955521418427733,0.0006346429595484411,0,0.0006346429595484411
2005,NLD,1701,8.607224238941342,1.6290300091846446,1.2277988517323473,0.0,0.5,0.5
2007,NLD,1701,8.464345410480158,0.7196497378706179,-0.6356371441849133,4.603627685843614e-06,0.5740362689494244,0.5740408725771102
2008,NLD,1701,8.44573556449068,0.9580543652192836,-0.14711569918719647,0.0,0,0.0
2010,NLD,1701,8.36539659372632,0.42514639427576945,-1.2391120035852032,0.0,0.44471580313422193,0.44471580313422193
2012,NLD,1701,8.410854950799317,1.11034606316129,0.16494938598826223,6.576610979776591e-07,0,6.576610979776591e-07
2013,NLD,1701,8.53049887271254,1.3171763427006717,0.5887709709698676,1.3153221959553181e-06,0.4,0.40000131532219596
2016,NLD,1701,8.684232078297542,1.0298486821341242,0.0,0.0,0.5926342446625654,0.5926342446625654
2008,CIV,1701,6.7269980493506045,0.19209388593740173,-1.5909799293818638,2.6392511346602493e-06,0,2.6392511346602493e-06
2009,CIV,1701,6.783859004656908,1.1398847810699704,0.7573446839297755,1.1876630105971123e-05,0,1.1876630105971123e-05
2010,CIV,1701,6.705138656308207,0.8342181829187733,0.0,7.917753403980748e-06,0,7.917753403980748e-06
2015,CIV,1701,5.0946283266701515,0.02451826136748584,-2.006179068548063,7.038003025760666e-06,0,7.038003025760666e-06
1997,POL,1701,8.718959769872415,3.264117319106161,3.2265617365262176,2.6239950256491462e-05,0.6544068044350275,0.654433044385284
1998,POL,1701,8.53131767700257,0.6491692010475155,-0.5659081278174005,1.8243013035465493e-05,0,1.8243013035465493e-05
1999,POL,1701,8.613602993582228,1.208607588077871,0.24544763450829862,3.923497324065867e-05,0.4,0.4000392349732407
2000,POL,1701,8.630372688658426,1.0393688458075994,0.0,2.099196020519317e-05,0,2.099196020519317e-05
2002,POL,1701,8.315927226476367,0.4847909878684726,-0.804306517265749,6.972329639582017e-05,0.21760912590556813,0.21767884920196395
2003,POL,1701,8.627341459619817,2.048397481239792,1.4633983235496573,4.573248473274226e-05,0,4.573248473274226e-05
2004,POL,1701,8.631742850257815,1.0101861052185237,-0.04232384706936073,0.0,0,0.0
2005,POL,1701,8.817495708955454,1.533743936139993,0.7169941991658696,4.998085763141231e-07,0,4.998085763141231e-07
2007,POL,1701,8.541503152132528,0.5296725216321072,-0.7392146467660501,4.748181474984169e-06,0.5,0.500004748181475
2008,POL,1701,8.604952117717714,1.1573080275819472,0.17104767380112393,4.998085763141231e-07,0.4698970004336019,0.4698975002421782
2009,POL,1701,8.26406796375484,0.4561585779074394,-0.845832217592594,2.27412902222926e-05,0.5,0.5000227412902223
2010,POL,1701,8.579487609803659,2.067376836726327,1.4909241598101437,7.921965934578851e-05,0.6488550716500444,0.6489342913093902
2012,POL,1701,8.756942615007182,1.5047176154396034,0.6748972084956585,6.847377495503487e-05,0.3770852011642144,0.37715367493916946
2013,POL,1701,8.704634301097991,0.8865264266228293,-0.22166798061827372,7.247224356554785e-06,0,7.247224356554785e-06
2014,POL,1701,8.659047610733754,0.9003540233985253,-0.20161376091656336,1.94925344762508e-05,0,1.94925344762508e-05
2015,POL,1701,8.630144274603019,0.9356138969065311,-0.1504762233202321,1.94925344762508e-05,0,1.94925344762508e-05
2016,POL,1701,8.664887519399741,1.083286285055771,0.06369364031263623,5.7477986276124155e-06,0,5.7477986276124155e-06
