Year,iso,type,death,dollars
11/05/2011,BRA,Flood,2,0
/09/2011,BRA,Flood,3,0
/01/2012,BRA,Flood,33,2000
20/05/2012,BRA,Flood,0,171000
20/01/2013,BRA,Flood,4,2000
22/09/2013,BRA,Storm,2,90000
12/12/2013,BRA,Flood,2,0
13/01/2014,BRA,Flood,20,0
30/06/2014,BRA,Flood,11,0
/12/2016,BRA,Drought,0,5000000
27/04/2015,BRA,Landslide,15,0
21/07/2015,BRA,Flood,3,0
26/12/2015,BRA,Flood,0,0
11/03/2016,BRA,Flood,30,100000
14/04/1928,BGR,Earthquake,107,0
04/03/1977,BGR,Earthquake,20,0
//1983,BGR,Drought,0,0
30/05/1990,BGR,Earthquake,1,0
16/02/1998,BGR,Flood,0,0
16/05/1999,BGR,Storm,0,0
/07/2000,BGR,Extreme temperature ,7,50
//2001,BGR,Drought,0,0
24/12/2001,BGR,Storm,2,0
/02/2005,BGR,Storm,0,0
06/07/2005,BGR,Flood,17,247000
23/09/2005,BGR,Flood,2,0
11/08/2005,BGR,Flood,7,0
13/04/2006,BGR,Flood,0,0
06/06/2007,BGR,Flood,2,0
07/08/2007,BGR,Flood,8,0
26/08/2007,BGR,Wildfire,2,0
/01/2008,BGR,Extreme temperature ,10,0
05/12/2010,BGR,Flood,0,0
06/02/2012,BGR,Flood,5,4400
15/12/2012,BGR,Extreme temperature ,3,0
25/06/2014,BGR,Flood,15,377000
06/09/2014,BGR,Flood,3,10000
04/02/2015,BGR,Flood,5,5800
//1944,BFA,Drought,0,0
//1975,BFA,Drought,0,0
/09/1977,BFA,Flood,0,0
/10/1984,BFA,Flood,0,0
/08/1988,BFA,Flood,16,0
//1990,BFA,Drought,0,0
//1996,BFA,Drought,0,0
/08/1999,BFA,Flood,6,0
19/10/2003,BFA,Flood,0,0
12/09/2006,BFA,Flood,0,0
/07/2008,BFA,Flood,0,0
/07/2009,BFA,Flood,0,0
/09/2010,BFA,Flood,16,176
05/09/2012,BFA,Flood,18,0
//2014,BFA,Drought,0,0
16/07/2016,BFA,Flood,15,0
//1914,BFA,Drought,0,0
//1966,BFA,Drought,0,0
//1978,BFA,Drought,0,0
//1985,BFA,Drought,0,0
11/06/1985,BFA,Flood,0,0
//1988,BFA,Drought,0,0
//1994,BFA,Flood,22,0
//1998,BFA,Drought,0,0
//2001,BFA,Drought,0,0
11/10/2006,BFA,Flood,0,0
10/10/2007,BFA,Flood,52,0
/09/2008,BFA,Flood,6,0
01/09/2009,BFA,Flood,9,150000
//2012,BFA,Drought,0,0
17/08/2013,BFA,Flood,2,0
07/08/2015,BFA,Flood,8,31000
02/02/1989,BDI,Flood,12,0
//2001,BDI,Drought,6,0
06/05/2002,BDI,Flood,0,0
//2004,BDI,Drought,0,0
20/02/2004,BDI,Storm,0,0
24/02/2004,BDI,Earthquake,3,0
/01/2006,BDI,Drought,120,0
24/04/2006,BDI,Flood,1,0
28/05/2006,BDI,Flood,1,0
/08/2006,BDI,Flood,0,0
17/01/2007,BDI,Flood,4,0
11/04/2008,BDI,Flood,6,0
/01/2009,BDI,Drought,0,0
/02/2010,BDI,Drought,0,0
/02/2010,BDI,Flood,0,0
//2011,BDI,Drought,0,0
03/04/2011,BDI,Flood,0,0
29/03/2015,BDI,Landslide,11,0
//1900,CPV,Drought,11000,0
//1920,CPV,Drought,24000,0
//1946,CPV,Drought,30000,0
//1985,CPV,Drought,0,0
16/09/1984,CPV,Storm,29,0
/05/1995,CPV,Volcanic activity,0,0
//2002,CPV,Drought,0,0
31/01/2015,CPV,Volcanic activity,0,0
//1987,KHM,Drought,0,0
31/07/1994,KHM,Flood,506,0
03/11/1996,KHM,Flood,59,1500
08/08/1999,KHM,Flood,7,500
10/08/2000,KHM,Flood,347,160000
//2001,KHM,Drought,0,0
/07/2002,KHM,Drought,0,38000
29/09/2005,KHM,Flood,16,0
07/07/2006,KHM,Flood,0,0
24/08/2007,KHM,Flood,2,1000
03/11/2009,KHM,Storm,2,0
01/11/2011,KHM,Flood,247,521000
14/10/2013,KHM,Flood,200,500000
/05/2016,KHM,Drought,0,0
15/08/1984,CMR,Volcanic activity,37,0
/08/1988,CMR,Flood,2,0
13/08/1991,CMR,Flood,2,0
04/04/1999,CMR,Volcanic activity,0,0
05/08/2000,CMR,Flood,3,0
//2001,CMR,Drought,0,0
19/08/2005,CMR,Flood,2,0
17/08/2007,CMR,Flood,8,0
22/07/2010,CMR,Flood,13,0
27/08/2012,CMR,Flood,10,0
18/09/2013,CMR,Flood,0,0
29/06/2015,CMR,Flood,4,0
13/08/1905,CAN,Mass movement (dry),18,0
05/03/1910,CAN,Landslide,62,0
30/06/1912,CAN,Storm,28,5000
30/09/1922,CAN,Wildfire,43,8000
//1940,CAN,Drought,0,0
17/06/1946,CAN,Storm,17,500
05/05/1950,CAN,Flood,1,100000
12/11/1955,CAN,Mass movement (dry),3,0
//1961,CAN,Drought,0,0
18/02/1965,CAN,Landslide,26,0
20/08/1970,CAN,Storm,10,0
04/03/1971,CAN,Storm,0,0
//1974,CAN,Flood,0,75000
25/07/1975,CAN,Storm,0,2500
28/01/1977,CAN,Storm,0,0
/04/1979,CAN,Flood,0,19000
28/07/1981,CAN,Storm,0,79000
07/12/1983,CAN,Flood,0,58000
/07/1985,CAN,Wildfire,0,0
14/05/1986,CAN,Storm,0,0
15/05/1986,CAN,Wildfire,0,0
31/07/1987,CAN,Storm,26,265000
14/07/1987,CAN,Flood,1,174000
//1988,CAN,Drought,0,810000
/08/1989,CAN,Wildfire,1,4200000
07/09/1991,CAN,Storm,0,500000
/04/1993,CAN,Extreme temperature ,0,2000000
24/07/1994,CAN,Wildfire,0,0
01/08/1994,CAN,Storm,0,3000
09/06/1995,CAN,Flood,0,73300
11/09/1995,CAN,Storm,2,100000
15/09/1996,CAN,Storm,0,100
29/05/1997,CAN,Wildfire,0,0
10/01/1998,CAN,Storm,28,1500000
02/05/1998,CAN,Wildfire,0,0
05/03/1999,CAN,Wildfire,0,0
14/07/2000,CAN,Storm,11,13000
28/05/2001,CAN,Wildfire,0,0
/07/2002,CAN,Wildfire,0,0
03/04/2003,CAN,Flood,2,10000
05/08/2003,CAN,Flood,0,10000
29/09/2003,CAN,Storm,2,110000
/01/2004,CAN,Storm,0,100000
11/04/2004,CAN,Flood,0,0
/07/2005,CAN,Wildfire,0,0
29/09/2005,CAN,Storm,0,0
01/07/2005,CAN,Flood,4,357000
20/04/2006,CAN,Flood,0,0
02/06/2006,CAN,Flood,0,0
15/02/2007,CAN,Storm,2,0
26/12/2007,CAN,Storm,4,0
01/05/2008,CAN,Flood,0,0
23/08/2009,CAN,Storm,0,0
28/12/2010,CAN,Storm,0,0
24/08/2011,CAN,Storm,1,0
16/05/2011,CAN,Wildfire,1,1500000
27/12/2012,CAN,Storm,0,0
27/06/2013,CAN,Flood,4,5700000
09/07/2013,CAN,Storm,0,1410000
04/08/2014,CAN,Flood,0,129000
04/07/2016,CAN,Wildfire,0,4000000
/01/1957,SPI,Storm,26,0
20/11/2001,SPI,Flood,7,0
30/07/2004,SPI,Extreme temperature ,13,0
/08/2007,SPI,Wildfire,0,0
01/10/2002,CYM,Storm,0,1000
